"","AdmArea","Month","Year","TotalAmount"
"1","Центральный административный округ","Апрель",2016,1033089057
"2","Северный административный округ","Апрель",2016,1416996034
"3","Северо-Восточный административный округ","Апрель",2016,1593702061
"4","Восточный административный округ","Апрель",2016,1835590452
"5","Юго-Восточный административный округ","Апрель",2016,1684636395
"6","Южный административный округ","Апрель",2016,1903867370
"7","Юго-Западный административный округ","Апрель",2016,1712782380
"8","Западный административный округ","Апрель",2016,1431693430
"9","Северо-Западный административный округ","Апрель",2016,1035030329
"10","Зеленоградский административный округ","Апрель",2016,332136628
"11","Новомосковский административный округ","Апрель",2016,110671303
"12","Троицкий административный округ","Апрель",2016,66441783
"13","Центральный административный округ","Май",2016,1046211200
"14","Северный административный округ","Май",2016,1418905219
"15","Северо-Восточный административный округ","Май",2016,1608130413
"16","Восточный административный округ","Май",2016,1825260022
"17","Юго-Восточный административный округ","Май",2016,1694719212
"18","Южный административный округ","Май",2016,1886927998
"19","Юго-Западный административный округ","Май",2016,1733572340
"20","Западный административный округ","Май",2016,1427835744
"21","Северо-Западный административный округ","Май",2016,1032963856
"22","Зеленоградский административный округ","Май",2016,336461794
"23","Новомосковский административный округ","Май",2016,117810780
"24","Троицкий административный округ","Май",2016,70173639
"25","Центральный административный округ","Июнь",2016,1035468984
"26","Северный административный округ","Июнь",2016,1395973218
"27","Северо-Восточный административный округ","Июнь",2016,1578636903
"28","Восточный административный округ","Июнь",2016,1795163778
"29","Юго-Восточный административный округ","Июнь",2016,1659457540
"30","Южный административный округ","Июнь",2016,1845444457
"31","Юго-Западный административный округ","Июнь",2016,1708870209
"32","Западный административный округ","Июнь",2016,1399188285
"33","Северо-Западный административный округ","Июнь",2016,1008979222
"34","Зеленоградский административный округ","Июнь",2016,329023226
"35","Новомосковский административный округ","Июнь",2016,111595303
"36","Троицкий административный округ","Июнь",2016,64914899
"37","Центральный административный округ","Июль",2016,1029532179.83
"38","Северный административный округ","Июль",2016,1387149539.41
"39","Северо-Восточный административный округ","Июль",2016,1570840917.21
"40","Восточный административный округ","Июль",2016,1783038816.31
"41","Юго-Восточный административный округ","Июль",2016,1652866574.67
"42","Южный административный округ","Июль",2016,1836219667.98
"43","Юго-Западный административный округ","Июль",2016,1695226526.04
"44","Западный административный округ","Июль",2016,1390229155.54
"45","Северо-Западный административный округ","Июль",2016,1003355026
"46","Зеленоградский административный округ","Июль",2016,327614175.64
"47","Новомосковский административный округ","Июль",2016,108434946
"48","Троицкий административный округ","Июль",2016,63910820.08
"49","Центральный административный округ","Август",2016,1029563915
"50","Северный административный округ","Август",2016,1396443463
"51","Северо-Восточный административный округ","Август",2016,1572388484
"52","Восточный административный округ","Август",2016,1811417636
"53","Юго-Восточный административный округ","Август",2016,1659243008
"54","Южный административный округ","Август",2016,1866206721
"55","Юго-Западный административный округ","Август",2016,1714265991
"56","Западный административный округ","Август",2016,1413210959
"57","Северо-Западный административный округ","Август",2016,1013352313
"58","Зеленоградский административный округ","Август",2016,333175975
"59","Новомосковский административный округ","Август",2016,116274222.86
"60","Троицкий административный округ","Август",2016,59967821.14
"61","Центральный административный округ","Сентябрь",2016,1042438615
"62","Северный административный округ","Сентябрь",2016,1428741988
"63","Северо-Восточный административный округ","Сентябрь",2016,1593413654
"64","Восточный административный округ","Сентябрь",2016,1817578094
"65","Юго-Восточный административный округ","Сентябрь",2016,1679395906
"66","Южный административный округ","Сентябрь",2016,1883883893
"67","Юго-Западный административный округ","Сентябрь",2016,1739564134
"68","Западный административный округ","Сентябрь",2016,1423847820
"69","Северо-Западный административный округ","Сентябрь",2016,1033043233
"70","Зеленоградский административный округ","Сентябрь",2016,334071335
"71","Новомосковский административный округ","Сентябрь",2016,141233130
"72","Троицкий административный округ","Сентябрь",2016,61386340
"73","Центральный административный округ","Октябрь",2016,1065523860
"74","Северный административный округ","Октябрь",2016,1456834154
"75","Северо-Восточный административный округ","Октябрь",2016,1635362938
"76","Восточный административный округ","Октябрь",2016,1860453301
"77","Юго-Восточный административный округ","Октябрь",2016,1708645816
"78","Южный административный округ","Октябрь",2016,1916341247
"79","Юго-Западный административный округ","Октябрь",2016,1778957809
"80","Западный административный округ","Октябрь",2016,1469443650
"81","Северо-Западный административный округ","Октябрь",2016,1062159313
"82","Зеленоградский административный округ","Октябрь",2016,345901114
"83","Новомосковский административный округ","Октябрь",2016,180552696
"84","Троицкий административный округ","Октябрь",2016,76107488
"85","Центральный административный округ","Ноябрь",2016,1072033883
"86","Северный административный округ","Ноябрь",2016,1479153663
"87","Северо-Восточный административный округ","Ноябрь",2016,1662908416
"88","Восточный административный округ","Ноябрь",2016,1894737033
"89","Юго-Восточный административный округ","Ноябрь",2016,1755020520
"90","Южный административный округ","Ноябрь",2016,1958133995
"91","Юго-Западный административный округ","Ноябрь",2016,1812664401
"92","Западный административный округ","Ноябрь",2016,1488607824
"93","Северо-Западный административный округ","Ноябрь",2016,1065679582
"94","Зеленоградский административный округ","Ноябрь",2016,350711807
"95","Новомосковский административный округ","Ноябрь",2016,190624041
"96","Троицкий административный округ","Ноябрь",2016,81834967
"97","Центральный административный округ","Декабрь",2016,1083268627
"98","Северный административный округ","Декабрь",2016,1499963780
"99","Северо-Восточный административный округ","Декабрь",2016,1693919455
"100","Восточный административный округ","Декабрь",2016,1916420673
"101","Юго-Восточный административный округ","Декабрь",2016,1791545499
"102","Южный административный округ","Декабрь",2016,1989380816
"103","Юго-Западный административный округ","Декабрь",2016,1838254887
"104","Западный административный округ","Декабрь",2016,1503699594
"105","Северо-Западный административный округ","Декабрь",2016,1083698401
"106","Зеленоградский административный округ","Декабрь",2016,354678314
"107","Новомосковский административный округ","Декабрь",2016,200498713
"108","Троицкий административный округ","Декабрь",2016,79458629
"109","Центральный административный округ","Январь",2017,1103915545.5
"110","Северный административный округ","Январь",2017,1519741507.48
"111","Северо-Восточный административный округ","Январь",2017,1702709353.42
"112","Восточный административный округ","Январь",2017,1915524450.69
"113","Юго-Восточный административный округ","Январь",2017,1784142915.87
"114","Южный административный округ","Январь",2017,2013104457.38
"115","Юго-Западный административный округ","Январь",2017,1837763557.34
"116","Западный административный округ","Январь",2017,1500949980.18
"117","Северо-Западный административный округ","Январь",2017,1109538110.97
"118","Зеленоградский административный округ","Январь",2017,354734965.34
"119","Новомосковский административный округ","Январь",2017,197250308.5
"120","Троицкий административный округ","Январь",2017,84701070.28
"121","Центральный административный округ","Февраль",2017,1129023935.08
"122","Северный административный округ","Февраль",2017,1602594629
