id,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
1,shrimp,almonds,avocado,vegetables mix,green grapes,whole weat flour,yams,cottage cheese,energy drink,tomato juice,low fat yogurt,green tea,honey,salad,mineral water,salmon,antioxydant juice,frozen smoothie,spinach,olive oil
2,burgers,meatballs,eggs,,,,,,,,,,,,,,,,,
3,chutney,,,,,,,,,,,,,,,,,,,
4,turkey,avocado,,,,,,,,,,,,,,,,,,
5,mineral water,milk,energy bar,whole wheat rice,green tea,,,,,,,,,,,,,,,
6,low fat yogurt,,,,,,,,,,,,,,,,,,,
7,whole wheat pasta,french fries,,,,,,,,,,,,,,,,,,
8,soup,light cream,shallot,,,,,,,,,,,,,,,,,
9,frozen vegetables,spaghetti,green tea,,,,,,,,,,,,,,,,,
10,french fries,,,,,,,,,,,,,,,,,,,
11,eggs,pet food,,,,,,,,,,,,,,,,,,
12,cookies,,,,,,,,,,,,,,,,,,,
13,turkey,burgers,mineral water,eggs,cooking oil,,,,,,,,,,,,,,,
14,spaghetti,champagne,cookies,,,,,,,,,,,,,,,,,
15,mineral water,salmon,,,,,,,,,,,,,,,,,,
16,mineral water,,,,,,,,,,,,,,,,,,,
17,shrimp,chocolate,chicken,honey,oil,cooking oil,low fat yogurt,,,,,,,,,,,,,
18,turkey,eggs,,,,,,,,,,,,,,,,,,
19,turkey,fresh tuna,tomatoes,spaghetti,mineral water,black tea,salmon,eggs,chicken,extra dark chocolate,,,,,,,,,,
20,meatballs,milk,honey,french fries,protein bar,,,,,,,,,,,,,,,
21,red wine,shrimp,pasta,pepper,eggs,chocolate,shampoo,,,,,,,,,,,,,
22,rice,sparkling water,,,,,,,,,,,,,,,,,,
23,spaghetti,mineral water,ham,body spray,pancakes,green tea,,,,,,,,,,,,,,
24,burgers,grated cheese,shrimp,pasta,avocado,honey,white wine,toothpaste,,,,,,,,,,,,
25,eggs,,,,,,,,,,,,,,,,,,,
26,parmesan cheese,spaghetti,soup,avocado,milk,fresh bread,,,,,,,,,,,,,,
27,ground beef,spaghetti,mineral water,milk,energy bar,black tea,salmon,frozen smoothie,escalope,,,,,,,,,,,
28,sparkling water,,,,,,,,,,,,,,,,,,,
29,mineral water,eggs,chicken,chocolate,french fries,,,,,,,,,,,,,,,
30,frozen vegetables,spaghetti,yams,mineral water,,,,,,,,,,,,,,,,
31,herb & pepper,tomato sauce,light cream,magazines,,,,,,,,,,,,,,,,
32,mineral water,chocolate,avocado,eggs,,,,,,,,,,,,,,,,
33,turkey,french fries,strawberries,,,,,,,,,,,,,,,,,
34,frozen vegetables,strong cheese,chocolate,,,,,,,,,,,,,,,,,
35,cookies,,,,,,,,,,,,,,,,,,,
