Названия организации;Б.10.;Б.14.;Б.15.;Б.16.;Б.16.1.;Б.17.;Б.18.;Б.19.;Б.2.;Б.20.;Б.21.;Б.22.;Б.6.;Б.8.
АНО «НИЦ РКТ РАКЦ»;650;1;22;9;43;4;9;;8500;3;4;18300;;
"АО ""ГосМКБ Радуга""";443130;155;1260;521;31;16;11;;3972887;;;;121461;
"АО ""ДМЗ им. Н.П. Федорова""";;;1077;19;;;1;;;;;;;
"АО ""НИИАО""";550493;7;669;320;35;;32;2;536532;4;2;317047;0;
"АО ""НИИП""";3132588;0;1886;860;392;12;45;18;2440452;;28;2369477;854158;
"АО ""НПП ""Исток"" им. Шокина""";1982924;;4432;1250;245;69;108;16;3397346;21;40;1548001;;
"АО ""Центр финансовых технологий""";193909;;1169;;;;;;3783236;;11;73123;102426;
"АО ""ЭМЗ имени В.М.Мясищева""";722143;98;592;285;232;0;3;0;312555;0;0;593633;0;
АО «Вектор-Бест»;56387;;695;22;15;;38;;359181;10;5;56387;129900;
АО «Вектор-БиАльгам»;923;;137;25;;;2;;62889;;;923;;
АО «ВПК «НПО машиностроения»;6662290,1;650;4120;2234;819;53;78;33;15176758,8;2;25;2471221;11045860,8;
АО «ГНЦ РФ ТРИНИТИ»;;;968;407;56;30;153;15;998,6;;;401727;;
АО «Диакон-ДС»;0;;66;4;1;0;6;0;0;0;0;354;;
АО «К «ТРВ»;471135;;2663;311;104;4;36;8;2412665;;;403925;;
АО «ЛИИ им. М.М. Громова»;845652;0;2320;496;45;19;94;15;1085799;36;20;824488;25038;
АО «МНИИ «Агат»;636283;12;652;237;85;2;18;1;824224;0;1;495947;360572;
АО «НИИ «Платан» с заводом при НИИ»;;;189;53;0;2;10;;22141;;2;48640;;
АО «НПО «Турботехника»;351468;1;78;34;28;3;2;5;372965;0;4;69151;1366;
АО «РТСофт»;16637;7;634;127;85;5;27;8;888091;;10;16637;103821;
АО «ФЗМТ»;27591,04;;208;39;0;;1;;29000;;2;7350;;
АО ИФТП;;;66;9;;;4;;20444;;5;15854;;
АО НИИ Атолл;396550;8;352;274;;4;13;4;426728;;12;241950;;
АО НПК Дедал;6148;0;308;63;0;1;7;0;521269;0;5;22611;0;
АО НПО «Криптен»;;;397;20;13;;;;4274214;;;;1438;
АО НПО ИТ;;;1770;441;147;11;29;7;291233;18;37;276539;;
АО НПП «Циклон-Тест»;2096;;163;51;9;2;4;;17785;;;11130;;
АО ПЗ Тензор;;;447;245;;;8;3;165998;;8;;;
"АО ЦНТУ ""Динамика""";98309;0;233;20;32;0;10;0;1219836;0;0;59359;0;
"ГБОУ ВО МО ""Дубна""";;;1084;235;;640;411;170;1000;731;309;9926;;
"ЗАО ""ИмДи""";50618;0;41;18;12;0;3;0;54826;;;3037;0;0
ЗАО «Вектор-Медика»;0;;174;0;0;0;5;0;381371;;35;0;;
ЗАО «Вектор-Экоцентр»;;;8;;;;1;;;;;1340;;
ЗАО «Королевская шелковая фабрика «Передовая текстильщица»;32626;;267;;;;2;;12400;;6;;;
ЗАО «Мультиспектр»;11000;1;19;8;2;0;3;;31000;;;13102;;
ЗАО «Научно- производственное предприятие «Маштест»;1038;1;84;9;1;1;4;1;46014;;;20753;5000;100
ЗАО «НОВЫЙ ГОРОД»;67713;;632;75;0;;;;2521426;;;67713;;
ЗАО «НПП «Магратеп»;;;84;38;10;;11;2;59272;;;;;
ЗАО «НТФ НОВИНТЕХ»;;;115;;;;;;;;;;;
ЗАО «Протом»;134661;0;155;33;7;0;4;0;134661;0;0;84562;0;
ЗАО «Ростокс-Н»;2571;;44;17;14;;4;;30270;;;4455;37282;
ЗАО «Трекпор Технолоджи»;;;158;61;4;;10;;19287;;;;2310;
ЗАО ЗЭМ РКК «Энергия»;372600;2;6248;;;4;10;9;;0;;1468;;
ЗАО Корпорация «Защита»;19702,28;6;241;32;;;5;;40672,37;;7;98511;;
ЗАО МПОТК «Технокомплект»;;;210;65;;;3;;204955;;;55624;;
"ЗАО НПКФ ""МаВР""";9000;0;22;11;3;;;0;13704;;12;4500;1481;
ЗАО НПП «Исток-Система»;19266;;44;28;7;;4;;55044,8;;4;12130;;
ЗАО НПЦ Аспект;91161,1;0;233;48;10;1;6;1;540571;0;3;88050;120980;8,6
ИБК РАН;0;0;382;358;83;13;124;25;19906,7;46;168;189956;0;0
ИБП РАН;7165,9;1;238;96;30;14;21;3;2743,6;37;7;102216;;
ИБФМ РАН;;;429;159;33;19;133;6;48720;30;98;236090;1809,5;
ИЗМИРАН;;;388;209;16;6;160;3;;95;261;243253;;
ИМПБ РАН – филиал ИПМ им. М.В.Келдыша РАН;;;98;98;25;19;51;5;57934,3;56;68;57934;;
Институт белка РАН;;;195;102;46;14;70;18;;35;85;126838,7;;
ИПТМ РАН;188530;10;296;176;36;17;89;5;188530;83;100;187584;0;
ИПХФ РАН;;;1087;530;128;73;399;35;;292;558;693199;;
ИСАН;;;187;110;15;25;67;7;12415;92;31;145341;3496;2,3
ИСМАН;;;289;122;33;10;78;9;;66;119;159632;;
ИТФ РАН;;;83;80;20;25;69;6;;130;165;112925;;
ИТЭБ РАН;;3;364;323;128;57;201;16;218904,6;64;433;218905;;
ИФАВ РАН;;;150;109;40;10;53;9;128388;108;68;115680;827,3;1
ИФВД РАН;12809,2;;202;63;10;15;51;1;21891;57;66;119815;;
ИФПБ РАН;;;177;135;37;21;83;6;;59;111;98609;;
ИФТТ РАН;0;0;486;258;89;37;168;15;22809,8;342;252;315954;2300,13;0
ИФХ и БПП РАН;;;155;127;57;16;71;14;77700,8;45;134;77701;;
ИЭМ РАН;;;153;83;27;;66;;;42;222;82205;;0
КБ химмаш им. A.M. Исаева» - филиала АО «ГКНПЦ им. М.В.Хруничева»;61057;;2640;453;147;;10;5;298431;;4;559856;;
МКУ «Дирекция Наукограда»;;;;;;;;;;;;;;
Московское областное региональное отделение РАКЦ;680;1;439;;;6;313;0;3200;100;100;7089;;
НИЦ «Курчатовский институт - ИФВЭ»;;;1756;463;85;;197;16;54062;682;87;1055804;19908;
НП «Фонд развития наукограда Фрязино»;;;;;;;;;;;;;;
НЦЧ РАН;;;40;22;13;;12;;;15;15;8396;;
ОАО «Альфа Лаваль Поток»;;10;335;;;;3;;;;;;;
ОАО «ИСТОК-АУДИО ИНТЕРНЭШНЛ»;14341,4;6;171;68;4;;1;;239022,9;;;;;
ОАО «Композит»;746997,1;73;671;382;120;20;46;13;791923,4;;10;631726,6;9245,9;
ОАО «ПОЗ «Прогресс»;3500;3;291;;;;;;638018;;;;30578;
ОАО «ФЭЗ»;15941;;160;4;4;;2;1;213210;;;;;
ОАО НПФ «Перфторан»;;;30;;;;;;;;;;;
ОИЯИ;;;4482;1185;;124;833;50;;1057;683;;;
"ООО ""Живая косметика Сибири""";;;3;;;;;;;;;;;
"ООО ""ИмДи-Спектр""";14447;;30;4;1;;1;;20740;;;2270;;
"ООО ""Международный центр Научный центр по Теплофизике и Энергетике""";50251;;30;4;1;;1;;54018;;;2270;54018;
"ООО ""Научная компания ""Фламена""";7802,3;;22;10;1;1;3;;4159;;1;7802;;
ООО «БиоТест-Пущино»;;;8;;;;;;;;;;;
ООО «ВЕЗА»;248000;9;890;15;8;;1;;2618000;;1;150000;;8
ООО «Вектор»;;;10;0;;;2;;;;;59628;;
ООО «ДиСи»;12462;0;98;5;4;1;0;0;22501;0;0;7774;;
ООО «ИБП-ИМАКО»;;;13;;;;;;;;;;;
ООО «ИЛ Тест-Пущино»;;;61;3;;;2;;;;;;;
ООО «Каменный век»;;;57;;;;1;;116002;;;;;
ООО «Компания «Контакт»;34719;0;35;0;2;0;1;0;29991;0;0;0;686;0
ООО «Компания Стек»;;;9;;;;;;;;;;;
ООО «Лаборатории АМФОРА»;0;0;29;22;;0;4;1;42301;40;1;32759;;
ООО «МЕЗОН»;1007;1;6;4;0;4;2;1;1014;0;0;1007;0;
ООО «Нано Инвест»;3400;;11;7;4;1;3;1;26775;;0;;13900;100
ООО «НПК «Дельта-Тест»;37454;;35;7;5;;1;;54997;;;3800;;
ООО «НПО ДНК-Технология»;28213;21;144;21;8;;5;;421458;;;29700;;
ООО «НПЦ «Оптическая связь»;500;;41;14;;;1;;11424;;;300;;
ООО «НТ»;14500;0;10;10;0;1;1;1;14500;;;14300;0;
ООО «НТО «ИРЭ-Полюс»;872494;27,2;;640;40;40;5;36;2566160;3;;2198248;2195602,5;68,45
ООО «НТО Пламя»;3950;;18;5;4;;;;114800;;;3250;;
ООО «Ньюфрост»;7450;1;21;2;1;;2;0;49560;0;1;7450;;
ООО «Окабиолаб»;;;54;48;48;;5;29;5940;;;5600;62,19;1,19
ООО «ПКП Ремос»;5500;;16;12;9;1;2;;27450;;2;5500;;
ООО «ПКФ «Экотон»;18000;;83;12;0;;1;;95000;;8;163;1203;0,5
ООО «Прогресстех-Дубна»;2724;;86;80;66;1;1;6;80547;;3;;53096;
ООО «ПРОММЕДИА»;;1;7;2;;;;;;;;;;
ООО «РЭМЭКС»;17035;;141;16;12;;;;322812;;;;;
ООО «СКБ РТСофт»;16700;143;97;5;1;;;;119779,84;;;;;
ООО «ТД «ФОКУС»;;;122;18;7;;1;;627030;;80;;;10
ООО «Технологии радиосвязи»;;;32;11;10;1;5;;36102;;;;;
ООО «Углерод Чг»;1000;1;15;5;2;0;1;0;800;0;0;1500;0;0
ООО «Фирма «ВИПС-МЕД»;12848;2;148;28;12;;3;;342262;1;;12848;19831;
ООО «ЭкоБиоТехнология»;;;5;;;;1;;4201;;;;;
ООО ИТЭК;;;22;6;1;3;5;;;;;;;
ООО Научно-технический центр «АПМ»;12802;308;22;22;79;3;9;1;29119;;6;12802;;
ООО НПП «Пульс»;2661,5;;12;3;;;;;11582,7;;;6486;;
ООО НПП «Рефлект»;300;2;47;8;0;;3;;11352;;;350;;
ООО НПП «ЭЛМЕТ»;202,5;;62;2;;;1;1;38376,1;;;202;;
ООО НПФ «Альбит»;644;;27;8;5;;6;;86689;;1;1041;43,06;
ООО НПФ «Микротехнология»;;;39;3;;;;;28733,7;;;;;
ООО НТИЦ «АпАТэК-Дубна»;20749;7;84;34;;;7;;121696;41;50;;;
ООО НТП Дубна;;;14;10;0;4;2;3;12519;;1;0;0;
ООО Пелком Дубна МЗ;;;151;31;;;;;245963;;;3500;;
ООО ПК «Эбису»;;;26;;;;;;;;;;;
"ООО ПО ""Диа-Веста""";25072;;15;;;;;;28339;;;;3725;
ООО ПО «АпАТэК-Дубна»;1000;3;130;33;;;1;;156789;;;1000;;
ООО фирма «А-БИО»;1500;2;15;3;1;1;2;1;0;;;840;150;0,7
ПАО РКК «Энергия»;20332972;;7977;3717;1233;83;182;57;7094300;154;140;7949904;6852900;
ПущГЕНИ;;;298;105;58;91;146;29;58280,7;93;273;58209;;
"ФБУН ГНЦ ВБ ""Вектор""";;;1146;338;148;9;141;30;;27,3;27;719737;;
ФГБНУ ТИСНУМ;279989;21;239;215;91;0;50;7;341035,1;29;59;306099;10953,42;3,1
ФГУП НИИПА;105141;1;334;271;;9;54;7;875897;9;;791205;;
ФГУП НТЦ «Электронтех» РАН;1212;;61;8;8;;6;;68299;;;;;
ФГУП СКБ ИРЭ РАН;124402;;219;90;21;;3;;134542;4;;102231;;
ФГУП ЦНИИМАШ;;;3669;1081;237;25;363;36;4923048;;24;3865802;;
ФГУП ЭЗАН;64594,4;;1006;32;12;;13;1;650079;5;15;64678;64085;
"Филиал ""Протвино"" университета ""Дубна""";419;24;102;34;5;55;36;2;419;320;35;348;;
Филиал МИРЭА в г. Фрязино МО;;;;;;;;;;;;;;
ФИРЭ им. В.А.Котельникова РАН;;;535;375;8;45;203;3;;96;162;292003;;
ФИЦ ПНЦБИ РАН;;;21;;;;3;;;;;17510;;
ФТЦ ФИАН;47573;;70;21;5;0;0;0;47573;0;0;47573;0;0
ЦАГИ им. проф. Н.Е. Жуковского;5494101;45;4199;620;142;139;463;82;6829452;204;252;4552551;58528;
