region;nature;techic;medic;agro;piople;human
Республика Адыгея;10407.5;66425;7155.3;63343.5;27332.5;27735.7
Республика Алтай;23425.2;3009.2;150;25404;8361.8;29394.6
Республика Башкортостан;1230187.9;5659374.4;960709.4;105219.4;152508.7;221711.2
Республика Бурятия;651148.1;31009.1;28835.6;57507.9;150744.3;129918.4
Республика Дагестан;385341.2;173959.1;54181.3;100532.2;118397.2;137097.6
Республика Ингушетия;7503;4332.5;2915;23980.5;7175;32147
Кабардино-Балкарская Республика;140404.9;161628.3;11773.4;88947.2;38924.7;47782.9
Республика Калмыкия;4939.4;0;0;23651.4;10514.4;36196.2
Карачаево-Черкесская Республика;537431.9;14111.8;2585.5;0;14919.5;33825.6
Республика Карелия;600346.3;276276.5;5072.5;38861.3;63056.9;67044.2
Республика Коми;841712.5;1320536.5;635.7;51880.3;80556.1;104754.9
Республика Марий Эл;14371.6;35655.9;0;19648.7;47464.3;27403.2
Республика Мордовия;154073.2;444778.9;35415.1;21275.4;131948.7;35614.6
Республика Саха (Якутия);1304339;450414.5;156780.9;145111.1;147084.2;296721.5
Республика Северная Осетия – Алания;131042.4;116207.2;31341.6;46216.5;17134.4;52816
Республика Татарстан;2468413.5;8571343.8;190145.3;352973;292116.3;327234
Республика Тыва;188576.1;1673;10955.6;12952.5;26962.5;48704
Удмуртская Республика;235910.3;703790.4;25644.8;39336.8;52927.2;49405
Республика Хакасия;11088.5;9837.3;1805.6;18818.2;5934.8;38191.3
Чеченская Республика;91470.1;41265.7;15401.9;27832.2;36143.5;73568.2
Чувашская Республика;52907.6;1222258.4;10218.9;13696.4;30139.5;48117.5
Алтайский край;380814.1;1445041.5;40119.6;130392.1;81378.5;79663.3
Краснодарский край;2784612.1;2400005.3;107765.6;956424.4;338417.8;204807.2
Красноярский край;1443969.3;15108462.6;198418.2;135595.8;180184;28424.3
Приморский край;4932782.4;1011723.6;210354.1;169498.2;184757.2;163291.3
Ставропольский край;146023.7;276061;297676.2;414736.8;295930.1;41131.4
Хабаровский край;472181.6;976264.5;109088.2;108692.5;149196.5;140636.7
Амурская область;228124.6;9632.8;54077.8;178879.6;8670.4;11664.7
Архангельская область;293748.1;733000.9;56537.8;59893.2;119635.7;142904.3
Астраханская область;322784.2;34911.2;19569.6;117851.4;20994.3;46950.5
Белгородская область;409058.8;878280.2;153144;235377.4;185930.7;59288.2
Брянская область;23422.6;410873.6;397;81043.1;18140.8;13940.2
Владимирская область;118435.1;2897895.6;600;697611.3;25328.3;27265
Волгоградская область;248744.2;2423054.1;344526.2;263637.2;91842.1;45945.8
Вологодская область;9988.1;166844.5;746;44764.6;140689.2;14262.2
Воронежская область;422784;5425443.4;71486;300927;142048.5;17136.7
Ивановская область;239475.5;338384.2;44029.3;32586.7;27364.7;30940.8
Иркутская область;2155210;1156485.1;385992.3;66478.2;484374.9;85086.3
Калинингpадская область;596258.1;486088.5;14807.5;13067.3;30693.5;5864.1
Калужская область;2202378.5;7393896;225780.3;87007.7;46742.1;14245.1
Камчатский край;1093791.6;132463.6;0;35072.2;25642.5;2608.2
Кемеровская область;279193.9;784639.1;227784.1;50385.8;45259;51611.1
Кировская область;389431.3;780445.8;83941.5;120853.4;40421.2;7577.4
Костромская область;15173.5;87607.5;0;28832.7;10050.2;7834.4
Курганская область;2491.1;109018.2;92842.4;46903.6;36425.6;4051.9
Курская область;2026276.5;455723.2;41284.2;117291;118212.8;3790
Ленинградская область;2546953.5;4592021.7;390085.9;56106.9;1925.1;0
Липецкая область;9338.7;179088.1;5147.9;149097.3;53824.7;13959.1
Магаданская область;646899.9;2501.3;0;38978.9;14732.5;26392.1
Московская область;17066232.7;91641720.4;573339.1;1769529.1;217206.2;50186.7
Мурманская область;1863027.2;436422.9;5102.5;30355.2;142643.3;35803.4
Нижегородская область;8855519;54937887.7;1521802;92326.1;129427.7;47168.7
Новгородская область;92194.5;1388471.2;6784.8;11800;19758.2;68829.8
Новосибирская область;12954395.5;4854518;943005.3;308060.4;390823.6;657916.9
Омская область;374276.5;4835525.8;83161.3;193406.8;91257.6;45205.6
Оренбургская область;183954;191780.8;50368.5;157492.7;45482.7;17538.8
Орловская область;18353.5;224974.4;2746.4;177234.9;83440.3;19288.3
Пензенская область;113988.5;3430481.3;12169.8;54179.1;28183.4;6184
Пермский край;984839;11232939.8;314557.2;30062.6;333028.9;49127.4
Псковская область;40598.6;211296.1;0;25200.2;40640.9;19369.4
Ростовская область;1216394.3;11269416.8;302130.7;467325.8;318341.6;108603.5
Рязанская область;75603.2;1869705.3;37017.8;174270;44005;6273.2
Самарская область;560586.6;16132471.5;236032.2;116408.8;239103.3;68725
Саратовская область;832094.1;1857826.4;447721.9;299127.9;107450.7;33463.2
Сахалинская область;1047460.2;256721.6;0;24243.2;3865.3;66711.5
Свердловская область;4217796.4;20603726.3;276417.7;270972.2;509871.3;380323
Смоленская область;22422.8;418607.9;756049.7;53070.6;42065.6;31674.5
Тамбовская область;93655.2;1733992.9;13745.9;259653.3;64986.1;16609.1
Тверская область;849133.7;3611946.2;37115;134978.5;29454.5;27403.5
Томская область;3439518.1;6680978.2;1004373.8;70145.2;284974.8;147108.2
Тульская область;43940.4;4110681.8;350;17180;29334.9;23218.5
Тюменская область;1353280.2;9558572.1;90619.7;103190.6;50742.3;73201.1
Ульяновская область;105371.8;8593462.5;9528.8;114169;46349.8;22159.6
Челябинская область;423088.9;13663292.9;248645.3;91793.2;147610;135638.6
Забайкальский край;69599;168750.4;15039.9;57615.5;38856.1;31513.5
Ярославская область;466263.6;6117806;44845.5;28197;101055;23902
Москва;52050140.9;231964198.3;16987567.7;1600399.5;14546342.2;5636481.9
Санкт-Петербург;15160672.4;86761362.2;3019824.7;803552.2;1442987.9;2523127.3
Ненецкий автономный округ;10405.2;0;0;11949.7;1352.3;41533.4
Ханты-Мансийский автономный округ – Югра;476942.9;2097411.3;67142.4;0;102544.7;61863.3
Чукотский автономный округ;38168.4;1069.8;0;0;0;0
Ямало-Ненецкий автономный округ;26850.1;0;31925.3;0;41481.9;36055
Республика Крым;296207;158602.7;19922.2;698827.5;8704.2;53605
Севастополь;525019.8;106588.3;0;0;17250.7;1315
