id,region,Субсидии на ГЗ из местных бюджетов 2015,Субсидии на ГЗ из федерального бюджета 2015,Субсидии на НИОКР из местного бюджета 2015,Субсидии на НИОКР из федерального бюджета 2015,Гранты из местного бюджета 2015,Гранты из федерального бюджета 2015,Конкурсное финансирование из местного бюджета 2015,Конкурсное финансирование из федерального бюджета 2015,Конкурсное финансирование из прочих источников 2015,Субсидии на ГЗ из местных бюджетов 2016,Субсидии на ГЗ из федерального бюджета 2016,Субсидии на НИОКР из местного бюджета 2016,Субсидии на НИОКР из федерального бюджета 2016,Гранты из местного бюджета 2016,Гранты из федерального бюджета 2016,Гранты из прочих источников 2016,Конкурсное финансирование из местного бюджета 2016,Конкурсное финансирование из федерального бюджета 2016,Конкурсное финансирование из прочих источников 2016
1,Республика Адыгея,0,8189.4,7266.1,0,0,5450,0,1554.7,1010,0,0,0,0,0,6735,2900,4089.8,0,19781.8
2,Республика Алтай,0,11627.2,0,3789.9,6996,0,722,0,7198.8,0,11598.5,4071.3,0,1038.4,400,2125,250,0,559.3
3,Республика Башкортостан,77528.6000000001,575325.2,6292.5,47988.5,18445.2,158981.8,11519.1,243266.2,51562.2,110671.8,569761.7,5608.6,33059.9,11982.6,173470,4074.8,34625.9,243378.6,77580.3
4,Республика Бурятия,946,625422.6,0,11176.2,3752.6,18798.8,522.1,3882.1,0,1485,616645.7,2041.3,0,0,14175,14018.1,125.599999999999,8550.2,25214.2
5,Республика Дагестан,2794,310709.6,1353.6,67092.6,1350,14665.4,950,1920,38824.9,180,295616.3,5000,15449,11660,12255.3,9687.2,0,0,4139.5
7,Кабардино-Балкарская Республика,916.4,256514.2,4268.9,840,500,11848,3274.2,31441.2,46073.5,170,345225.4,1670,600,0,41078.2,1768.4,0,0,2310
8,Республика Калмыкия,14276.6,0,0,0,350,4700,0,0,0,13441.3,7627.9,0,0,0,4505,0,0,0,0
9,Карачаево-Черкесская Республика,1661.6,191645.3,2120,0,1004,175914.5,720,58500,0,0,239269,516.5,0,0,105489.1,0,0,0,0
10,Республика Карелия,0,549751.1,0,69244.9,13574,57851.2,0,600,7017.5,0,472803,0,95729.3,12603.2,62326.6,0,120,1147.2,5940.3
11,Республика Коми,0,844089.4,14537.8,16078.8,361,8264.3,2601,9524.1,21052.8,0,768923.8,9095.8,12448.7,1065.8,5174.7,8154.9,4906.2,12887.6,8486.3
12,Республика Марий Эл,0,16355.1,0,20925.9,5382.2,11740,6000.2,0,2135.8,0,15702,0,17133.9,0,20613.3,449.5,6892.2,0,3229
13,Республика Мордовия,0,33465.5,10705,51138,0,10851.7,1618.3,0,128083.6,0,17635.4,3717.2,27590,0,22167.8,7126.2,0,547.2,8324.5
14,Республика Саха (Якутия),218723,1245978.4,59454.5,86745.9,0,48324.4,20364.9,0,5648.3,345351.6,1490283.7,0,4060,624,36241.6,10500,9982.4,0,11458
