region_id,region,W1_2014,W1_2015,W1_2016,W2_2014,W2_2015,W2_2016,W3_2014,W3_2015,W3_2016,W4_2014,W4_2015,W4_2016,W5_2014,W5_2015,W5_2016,W6_2014,W6_2015,W6_2016,W7_2014,W7_2015,W7_2016,W8_2014,W8_2015,W8_2016,W9_2014,W9_2015,W9_2016,W10_2014,W10_2015,W10_2016
1,Республика Адыгея,81,97,83,8,81,8,0,2,0,11,0,2,29,7,29,4,23,4,3,18,2,8,2,61,0,27,0,24,0,25
2,Республика Алтай,79,17,78,39,75,34,0,33,0,0,41,59,5,62,9,61,3,1,63,1,55,1,41,0,23,0,21,0,2,68
3,Республика Башкортостан,79,9,79,77,76,24,1,76,1,63,1,7,9,9,9,5,9,4,3,11,2,81,2,59,0,66,0,63,0,66
4,Республика Бурятия,81,9,84,81,83,89,0,73,0,68,0,69,16,2,17,4,17,1,3,58,3,42,2,92,0,5,0,52,0,47
5,Республика Дагестан,79,65,79,23,77,12,0,95,0,34,0,63,29,6,32,7,32,4,2,89,2,35,2,4,0,18,0,17,0,16
6,Республика Ингушетия,85,54,84,68,81,82,0,2,0,0,0,36,7,32,2,36,1,87,1,68,0,9,0,16,0,14,100,66,6,93
7,Кабардино-Балкарская Республика,80,71,81,3,79,6,0,84,0,85,0,58,45,8,37,2,23,2,2,42,1,98,1,75,0,52,0,41,0,38
8,Республика Калмыкия,79,68,79,76,63,1,21,1,61,0,47,4,7,4,4,4,5,3,28,3,7,3,5,0,16,0,14,0,13,91
9,Карачаево-Черкесская Республика,82,58,81,67,81,93,0,32,0,11,0,26,9,7,4,9,3,2,81,2,39,0,62,0,89,0,67,80,8,81
10,Республика Карелия,73,23,73,1,69,5,0,49,0,51,0,65,28,1,27,7,20,6,2,62,2,27,1,92,0,52,0,5,0,41
11,Республика Коми,72,4,71,83,67,92,0,51,0,46,0,58,5,7,5,7,5,4,2,83,2,39,2,1,0,44,0,45,0,44
12,Республика Марий Эл,77,88,76,12,72,59,1,7,0,95,1,53,72,1,68,8,76,2,97,2,86,2,74,0,1,0,8,0,1,70
13,Республика Мордовия,84,56,83,4,81,1,0,78,0,52,0,59,47,2,47,6,39,6,3,95,3,73,3,53,0,56,0,46,0,4
14,Республика Саха (Якутия),77,51,77,24,74,21,0,93,0,76,0,68,18,1,14,3,11,5,3,18,2,8,2,53,0,38,0,33,0,3
15,Республика Северная Осетия - Алания,81,19,81,21,77,33,1,36,1,31,1,37,29,2,25,1,31,1,4,21,3,71,3,52,0,37,0,31,0,3
16,Республика Татарстан,77,81,78,28,78,11,2,24,2,9,1,86,22,2,23,8,22,6,4,41,4,22,3,94,0,73,0,65,0,65
17,Республика Тыва,67,74,68,8,68,89,0,3,0,6,0,6,3,6,2,6,7,1,7,1,58,1,37,0,65,0,61,0,49,93
18,Удмуртская Республика,80,62,80,52,77,1,0,8,0,74,0,99,20,21,4,20,2,3,46,3,38,3,16,0,23,0,21,0,2,50
19,Республика Хакасия,77,83,79,77,74,14,0,13,0,7,0,2,47,45,7,47,6,1,99,1,6,1,59,0,6,0,5,0,5,59
20,Чеченская Республика,81,33,79,77,13,0,2,0,26,0,23,68,1,61,6,45,9,2,56,2,38,2,35,0,23,0,19,0,13,54
21,Чувашская Республика,83,82,81,87,79,11,1,3,1,27,0,95,7,2,8,9,8,3,44,3,1,2,94,0,64,0,55,0,58,12
22,Алтайский край,78,55,76,71,74,65,0,72,0,82,0,7,17,8,14,4,22,6,2,9,2,55,2,2,0,47,0,44,0,35
23,Краснодарский край,85,27,85,79,83,36,0,9,0,86,1,27,11,3,1,4,1,6,2,63,2,37,2,15,0,31,0,35,0,29
