region_id;region;P1_2014;P1_2015;P1_2016;P2_2014;P2_2015;P2_2016;P3_2014;P3_2015;P3_2016;P4_2014;P5_2014;P4_2015;P5_2015;P4_2016;P5_2016;P6_2014;P6_2015;P6_2016;P7_2014;P7_2015;P7_2016;P8_2014;P8_2015;P8_2016
1;Республика Адыгея;8,5;7,9;4,2;0;0;0;137,5;83,6;148,5;2517,9;9,3;4128;10,5;4577,2;10,1;5;5;10;164;187;230;205,7;202,4;225,2
2;Республика Алтай;10,7;10,9;6,2;0;0;0;468;270,3;79,8;10,3;0,2;9,6;0,1;15,1;0,2;1;5;3;184;177;118;91,8;89,7;91,6
3;Республика Башкортостан;10,4;9,1;7,3;7;8;10;30009,7;25320,7;28932,4;111871,7;8,2;139331,3;10,7;122263,7;8,4;732;924;631;7192;7625;9324;8302,8;8329,7;8854,4
4;Республика Бурятия;8,5;4,8;6,4;2;2;4;924,6;852,6;1769,7;11015,2;10,6;2311,7;1,8;2296,9;2,5;44;52;53;275;344;380;940;1049,2;931,1
5;Республика Дагестан;12,2;7,3;2,5;13;13;6;527,6;53,7;55,9;119,9;0,6;151,1;0,6;202,5;0,4;407;231;159;431;424;578;972,2;969,5;929,7
6;Республика Ингушетия;20;5,6;0;0;0;0;77,3;0,8;0;6,1;0,2;5,4;0,1;22,5;0,9;2;1;2;0;0;16;48,1;78,1;68,8
7;Кабардино-Балкарская Республика;6,7;2,5;2,4;6;3;2;221,7;5,5;86,2;752,2;2,4;1327;4,1;421,8;1,3;100;98;59;0;262;270;606,6;489,5;502,2
8;Республика Калмыкия;2,4;2,4;2;0;0;31;15,2;4,4;52,9;3,7;0,1;19,5;0,6;41,7;0,5;7;23;11;34;49;85;75,8;75,3;71,6
9;Карачаево-Черкесская Республика;3,6;3,1;0,8;0;0;0;77,5;271,4;8,1;19,7;0,1;43;0,1;62,9;0,1;18;20;8;84;90;93;403,7;602,9;492,2
10;Республика Карелия;7,7;7,2;6,4;9;10;11;63,9;123,5;711,3;193,5;0,2;187,7;0,2;455,2;0,3;56;53;50;498;537;614;985,9;1050,7;964,9
11;Республика Коми;8,9;5,2;4,5;0;1;2;1762,8;853,5;1294,5;23191,2;5,3;16952,7;3,3;12762,4;2,3;33;48;31;564;710;779;2152,4;2400,1;2390,5
