"ID";"AdmArea";"Month";"Year";"TotalAmount";"Suppliers";"global_id";
"Код";"Административный округ";"Месяц";"Год";"Общая сумма начисленных средств по округу (рублей)";"Поставщики";"global_id";
"1";"Центральный административный округ";"Апрель";"2016";"1033089057";"nested data";"171671233";
"2";"Северный административный округ";"Апрель";"2016";"1416996034";"nested data";"171671234";
"3";"Северо-Восточный административный округ";"Апрель";"2016";"1593702061";"nested data";"171671235";
"4";"Восточный административный округ";"Апрель";"2016";"1835590452";"nested data";"171671236";
"5";"Юго-Восточный административный округ";"Апрель";"2016";"1684636395";"nested data";"171671237";
"6";"Южный административный округ";"Апрель";"2016";"1903867370";"nested data";"171671238";
"7";"Юго-Западный административный округ";"Апрель";"2016";"1712782380";"nested data";"171671239";
"8";"Западный административный округ";"Апрель";"2016";"1431693430";"nested data";"171671240";
"9";"Северо-Западный административный округ";"Апрель";"2016";"1035030329";"nested data";"171671241";
"10";"Зеленоградский административный округ";"Апрель";"2016";"332136628";"nested data";"171671242";
"11";"Новомосковский административный округ";"Апрель";"2016";"110671303";"nested data";"171671243";
"12";"Троицкий административный округ";"Апрель";"2016";"66441783";"nested data";"171671244";
"13";"Центральный административный округ";"Май";"2016";"1046211200";"nested data";"171671245";
"14";"Северный административный округ";"Май";"2016";"1418905219";"nested data";"171671246";
"15";"Северо-Восточный административный округ";"Май";"2016";"1608130413";"nested data";"171671247";
"16";"Восточный административный округ";"Май";"2016";"1825260022";"nested data";"171671248";
"17";"Юго-Восточный административный округ";"Май";"2016";"1694719212";"nested data";"171671249";
"18";"Южный административный округ";"Май";"2016";"1886927998";"nested data";"171671250";
"19";"Юго-Западный административный округ";"Май";"2016";"1733572340";"nested data";"171671251";
"20";"Западный административный округ";"Май";"2016";"1427835744";"nested data";"171671252";
"21";"Северо-Западный административный округ";"Май";"2016";"1032963856";"nested data";"171671253";
"22";"Зеленоградский административный округ";"Май";"2016";"336461794";"nested data";"171671254";
"23";"Новомосковский административный округ";"Май";"2016";"117810780";"nested data";"171671255";
"24";"Троицкий административный округ";"Май";"2016";"70173639";"nested data";"171671256";
"25";"Центральный административный округ";"Июнь";"2016";"1035468984";"nested data";"171671257";
"26";"Северный административный округ";"Июнь";"2016";"1395973218";"nested data";"171671258";
"27";"Северо-Восточный административный округ";"Июнь";"2016";"1578636903";"nested data";"171671259";
"28";"Восточный административный округ";"Июнь";"2016";"1795163778";"nested data";"171671260";
